;OBLEA;IP;MODELO;PROCESAR;PING;TTL;FECHA;CONTADOR;CONTADORBYN;CONTADORCOL;N_SERIE
155;P0161;128.0.13.171;6500;True;0,0;1,0;2022-12-29 08:58:14.561217;0;0;0;0
156;P0162;128.0.13.172;C500;True;0,0;12,0;2022-12-29 08:58:14.585494;0;0;0;0
157;P0163;128.0.13.173;C500;True;0,0;1,0;2022-12-29 08:58:14.597572;0;0;0;0
158;P0164;128.70.13.50;3260;True;11003,0;;2022-12-29 08:58:17.622660;0;0;0;0
159;P0165;128.0.13.190;7225;True;0,0;1,0;2022-12-29 08:58:17.634951;0;0;0;0
160;P0166;128.0.13.191;7225;True;0,0;4,0;2022-12-29 08:58:17.650787;0;0;0;0
161;P0167;128.0.13.192;8880;True;0,0;21,0;2022-12-29 08:58:17.692718;0;0;0;0
162;P0168;128.0.13.193;8880;True;0,0;10,0;2022-12-29 08:58:17.713262;0;0;0;0
163;P0169;128.0.13.194;6505;True;0,0;1,0;2022-12-29 08:58:17.726191;0;0;0;0
164;P0170;128.10.13.50;3320;True;0,0;20,0;2022-12-29 08:58:17.788299;0;0;0;0
165;P0171;128.10.13.51;8900;True;0,0;17,0;2022-12-29 08:58:17.817341;0;0;0;0
166;P0172;128.94.13.10;3615;True;0,0;73,0;2022-12-29 08:58:17.910515;0;0;0;0
167;P0173;128.31.13.10;3320;True;0,0;35,0;2022-12-29 08:58:17.983962;0;0;0;0
168;P0174;128.0.13.181;3320;True;0,0;3,0;2022-12-29 08:58:18.009633;0;0;0;0
169;P0175;128.0.13.9;3320;True;0,0;3,0;2022-12-29 08:58:18.024656;0;0;0;0
170;P0176;128.0.13.183;3615;True;0,0;27,0;2022-12-29 08:58:18.063620;0;0;0;0
171;P0177;128.0.13.175;7225;True;0,0;10,0;2022-12-29 08:58:18.086173;0;0;0;0
172;P0178;128.0.13.195;7225;True;0,0;12,0;2022-12-29 08:58:18.110346;0;0;0;0
173;P0179;128.0.13.182;3615;True;0,0;2,0;2022-12-29 08:58:18.123943;0;0;0;0
174;P0180;128.0.13.176;3320;True;11003,0;;2022-12-29 08:58:20.949444;0;0;0;0
175;P0181;128.50.13.70;B400;True;0,0;49,0;2022-12-29 08:58:21.010229;0;0;0;0
176;P0182;0;0;False;;;2022-12-29 08:58:32.368612;0;0;0;0
177;P0183;128.60.13.40;7225;True;0,0;1243,0;2022-12-29 08:58:33.635268;0;0;0;0
178;P0184;128.70.13.35;7225;True;0,0;1234,0;2022-12-29 08:58:34.896320;0;0;0;0
179;P0185;128.90.13.46;7225;True;11010,0;;2022-12-29 08:58:38.431616;0;0;0;0
180;P0186;128.90.13.45;7225;True;11003,0;;2022-12-29 08:58:41.461699;0;0;0;0
181;P0187;128.0.13.12;3320;True;0,0;1,0;2022-12-29 08:58:41.472940;0;0;0;0
182;P0188;128.0.13.184;7225;True;0,0;14,0;2022-12-29 08:58:41.498999;0;0;0;0
183;P0189;128.20.13.22;7225;True;0,0;33,0;2022-12-29 08:58:41.543882;0;0;0;0
184;P0190;128.30.13.20;3320;True;0,0;25,0;2022-12-29 08:58:41.591674;0;0;0;0
185;P0191;128.0.13.202;B400;True;0,0;4,0;2022-12-29 08:58:41.609080;0;0;0;0
186;P0192;128.0.13.203;3320;True;0,0;7,0;2022-12-29 08:58:41.627199;0;0;0;0
187;P0193;128.0.13.206;7225;True;0,0;2,0;2022-12-29 08:58:41.640948;0;0;0;0
188;P0194;128.0.13.102;7225;True;0,0;1,0;2022-12-29 08:58:41.654313;0;0;0;0
189;P0195;128.50.13.71;B400;True;0,0;11,0;2022-12-29 08:58:41.681774;0;0;0;0
190;P0196;0;0;False;;;2022-12-29 08:58:43.971884;0;0;0;0
191;P0197;128.0.13.92;3320;True;11003,0;;2022-12-29 08:58:46.943987;0;0;0;0
192;P0198;128.70.13.30;B400;True;0,0;17,0;2022-12-29 08:58:46.971996;0;0;0;0
193;P0200;128.0.13.23;7845;True;0,0;16,0;2022-12-29 08:58:47.000218;0;0;0;0
